id_metodo_uf,id_metodo,nome_metodo,id_localidade,uf,nome_uf,regiao,fator_regional_custo,fator_custo_base,fator_custo_regional_calc,fator_regional_prazo,fator_prazo_base,fator_prazo_regional_calc,percentual_material,percentual_mao_obra,percentual_admin_equip,fonte_primaria,status_validacao,nota_importante,data_atualizacao_cub
MET_01_AC_001,MET_01,Alvenaria Convencional,BR_AC,AC,Acre,Norte,0.829,1200.0,994.8,0.829,1.0,0.829,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_AL_002,MET_01,Alvenaria Convencional,BR_AL,AL,Alagoas,Nordeste,0.905,1200.0,1086.0,0.905,1.0,0.905,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_01_AP_003,MET_01,Alvenaria Convencional,BR_AP,AP,Amapá,Norte,0.859,1200.0,1030.8,0.859,1.0,0.859,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_AM_004,MET_01,Alvenaria Convencional,BR_AM,AM,Amazonas,Norte,0.842,1200.0,1010.4,0.842,1.0,0.842,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_01_BA_005,MET_01,Alvenaria Convencional,BR_BA,BA,Bahia,Nordeste,0.896,1200.0,1075.2,0.896,1.0,0.896,0.6,0.35,0.05,CBIC/SINAPI,PARCIALMENTE_VALIDADO,Expansão regional implementada,2025-11-14
MET_01_CE_006,MET_01,Alvenaria Convencional,BR_CE,CE,Ceará,Nordeste,0.9,1200.0,1080.0,0.9,1.0,0.9,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_DF_007,MET_01,Alvenaria Convencional,BR_DF,DF,Distrito Federal,Centro-Oeste,0.984,1200.0,1180.8,0.984,1.0,0.984,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_ES_008,MET_01,Alvenaria Convencional,BR_ES,ES,Espírito Santo,Sudeste,0.949,1200.0,1138.8,0.949,1.0,0.949,0.6,0.35,0.05,CBIC/SINAPI,PARCIALMENTE_VALIDADO,Expansão regional implementada,2025-11-14
MET_01_GO_009,MET_01,Alvenaria Convencional,BR_GO,GO,Goiás,Centro-Oeste,0.958,1200.0,1149.6,0.958,1.0,0.958,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_01_MA_010,MET_01,Alvenaria Convencional,BR_MA,MA,Maranhão,Nordeste,0.898,1200.0,1077.6,0.898,1.0,0.898,0.6,0.35,0.05,CBIC/SINAPI,PARCIALMENTE_VALIDADO,Expansão regional implementada,2025-11-14
MET_01_MT_011,MET_01,Alvenaria Convencional,BR_MT,MT,Mato Grosso,Centro-Oeste,0.963,1200.0,1155.6,0.963,1.0,0.963,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_MS_012,MET_01,Alvenaria Convencional,BR_MS,MS,Mato Grosso do Sul,Centro-Oeste,0.964,1200.0,1156.8,0.964,1.0,0.964,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_MG_013,MET_01,Alvenaria Convencional,BR_MG,MG,Minas Gerais,Sudeste,0.982,1200.0,1178.4,0.982,1.0,0.982,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_PA_014,MET_01,Alvenaria Convencional,BR_PA,PA,Pará,Norte,0.841,1200.0,1009.2,0.841,1.0,0.841,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_PB_015,MET_01,Alvenaria Convencional,BR_PB,PB,Paraíba,Nordeste,0.877,1200.0,1052.4,0.877,1.0,0.877,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_01_PR_016,MET_01,Alvenaria Convencional,BR_PR,PR,Paraná,Sul,1.02,1200.0,1224.0,1.02,1.0,1.02,0.6,0.35,0.05,CBIC/SINAPI,PARCIALMENTE_VALIDADO,Expansão regional implementada,2025-11-14
MET_01_PE_017,MET_01,Alvenaria Convencional,BR_PE,PE,Pernambuco,Nordeste,0.888,1200.0,1065.6,0.888,1.0,0.888,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_01_PI_018,MET_01,Alvenaria Convencional,BR_PI,PI,Piauí,Nordeste,0.872,1200.0,1046.4,0.872,1.0,0.872,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_01_RJ_019,MET_01,Alvenaria Convencional,BR_RJ,RJ,Rio de Janeiro,Sudeste,0.965,1200.0,1158.0,0.965,1.0,0.965,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_RN_020,MET_01,Alvenaria Convencional,BR_RN,RN,Rio Grande do Norte,Nordeste,0.888,1200.0,1065.6,0.888,1.0,0.888,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_01_RS_021,MET_01,Alvenaria Convencional,BR_RS,RS,Rio Grande do Sul,Sul,1.05,1200.0,1260.0,1.05,1.0,1.05,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_RO_022,MET_01,Alvenaria Convencional,BR_RO,RO,Rondônia,Norte,0.865,1200.0,1038.0,0.865,1.0,0.865,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_01_RR_023,MET_01,Alvenaria Convencional,BR_RR,RR,Roraima,Norte,0.82,1200.0,984.0,0.82,1.0,0.82,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_01_SC_024,MET_01,Alvenaria Convencional,BR_SC,SC,Santa Catarina,Sul,1.045,1200.0,1254.0,1.045,1.0,1.045,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_01_SP_025,MET_01,Alvenaria Convencional,BR_SP,SP,São Paulo,Sudeste,1.0,1200.0,1200.0,1.0,1.0,1.0,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_01_SE_026,MET_01,Alvenaria Convencional,BR_SE,SE,Sergipe,Nordeste,0.88,1200.0,1056.0,0.88,1.0,0.88,0.6,0.35,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
