id,tipo,codigo_ibge,sigla,nome,regiao,uf_pai,populacao,latitude,longitude
UF_AC,UF,12,AC,Acre,Norte,,,,
UF_AL,UF,27,AL,Alagoas,Nordeste,,,,
UF_AP,UF,16,AP,Amapá,Norte,,,,
UF_AM,UF,13,AM,Amazonas,Norte,,,,
UF_BA,UF,29,BA,Bahia,Nordeste,,,,
UF_CE,UF,23,CE,Ceará,Nordeste,,,,
UF_DF,UF,53,DF,Distrito Federal,Centro-Oeste,,,,
UF_ES,UF,32,ES,Espírito Santo,Sudeste,,,,
UF_GO,UF,52,GO,Goiás,Centro-Oeste,,,,
UF_MA,UF,21,MA,Maranhão,Nordeste,,,,
UF_MT,UF,51,MT,Mato Grosso,Centro-Oeste,,,,
UF_MS,UF,50,MS,Mato Grosso do Sul,Centro-Oeste,,,,
UF_MG,UF,31,MG,Minas Gerais,Sudeste,,,,
UF_PA,UF,15,PA,Pará,Norte,,,,
UF_PB,UF,25,PB,Paraíba,Nordeste,,,,
UF_PR,UF,41,PR,Paraná,Sul,,,,
UF_PE,UF,26,PE,Pernambuco,Nordeste,,,,
UF_PI,UF,22,PI,Piauí,Nordeste,,,,
UF_RJ,UF,33,RJ,Rio de Janeiro,Sudeste,,,,
UF_RN,UF,24,RN,Rio Grande do Norte,Nordeste,,,,
UF_RS,UF,43,RS,Rio Grande do Sul,Sul,,,,
UF_RO,UF,11,RO,Rondônia,Norte,,,,
UF_RR,UF,14,RR,Roraima,Norte,,,,
UF_SC,UF,42,SC,Santa Catarina,Sul,,,,
UF_SP,UF,35,SP,São Paulo,Sudeste,,,,
UF_SE,UF,28,SE,Sergipe,Nordeste,,,,
UF_TO,UF,17,TO,Tocantins,Norte,,,,
CID_4205407,CIDADE,4205407,,Florianópolis,,SC,537211.0,,
CID_4216602,CIDADE,4216602,,São José,,SC,270299.0,,
CID_4212809,CIDADE,4212809,,Palhoça,,SC,27127.0,,
CID_4202131,CIDADE,4202131,,Biguaçu,,SC,5872.0,,
CID_4215752,CIDADE,4215752,,Santo Amaro da Imperatriz,,SC,2684.0,,
CID_4200051,CIDADE,4200051,,Abdon Batista,,SC,2598.0,,
CID_4200101,CIDADE,4200101,,Abelardo Luz,,SC,17392.0,,
CID_4200200,CIDADE,4200200,,Agrolândia,,SC,10990.0,,
CID_4200309,CIDADE,4200309,,Agronômica,,SC,6055.0,,
CID_4200408,CIDADE,4200408,,Água Doce,,SC,6508.0,,
CID_4200507,CIDADE,4200507,,Águas de Chapecó,,SC,6036.0,,
CID_4200556,CIDADE,4200556,,Águas Frias,,SC,2839.0,,
CID_4200606,CIDADE,4200606,,Águas Mornas,,SC,6743.0,,
CID_4200705,CIDADE,4200705,,Alfredo Wagner,,SC,10481.0,,
CID_4200754,CIDADE,4200754,,Alto Bela Vista,,SC,1856.0,,
CID_4200804,CIDADE,4200804,,Anchieta,,SC,5943.0,,
CID_4200903,CIDADE,4200903,,Angelina,,SC,5358.0,,
CID_4201000,CIDADE,4201000,,Anita Garibaldi,,SC,8285.0,,
CID_4201109,CIDADE,4201109,,Anitápolis,,SC,3593.0,,
CID_4201208,CIDADE,4201208,,Antônio Carlos,,SC,11224.0,,
CID_4201257,CIDADE,4201257,,Apiúna,,SC,9811.0,,
CID_4201273,CIDADE,4201273,,Arabutã,,SC,4378.0,,
CID_4201307,CIDADE,4201307,,Araquari,,SC,45283.0,,
CID_4201406,CIDADE,4201406,,Araranguá,,SC,71922.0,,
CID_4201505,CIDADE,4201505,,Armazém,,SC,8834.0,,
CID_4201604,CIDADE,4201604,,Arroio Trinta,,SC,3556.0,,
CID_4201653,CIDADE,4201653,,Arvoredo,,SC,2510.0,,
CID_4201703,CIDADE,4201703,,Ascurra,,SC,8319.0,,
CID_4201802,CIDADE,4201802,,Atalanta,,SC,3227.0,,
CID_4201901,CIDADE,4201901,,Aurora,,SC,6780.0,,
CID_4201950,CIDADE,4201950,,Balneário Arroio do Silva,,SC,15820.0,,
CID_4202008,CIDADE,4202008,,Balneário Camboriú,,SC,139155.0,,
CID_4202057,CIDADE,4202057,,Balneário Barra do Sul,,SC,14912.0,,
CID_4202073,CIDADE,4202073,,Balneário Gaivota,,SC,15669.0,,
CID_4202081,CIDADE,4202081,,Bandeirante,,SC,3144.0,,
CID_4202099,CIDADE,4202099,,Barra Bonita,,SC,1668.0,,
CID_4202107,CIDADE,4202107,,Barra Velha,,SC,45369.0,,
CID_4202156,CIDADE,4202156,,Belmonte,,SC,2658.0,,
CID_4202206,CIDADE,4202206,,Benedito Novo,,SC,10520.0,,
CID_4202305,CIDADE,4202305,,Biguaçu,,SC,76773.0,,
CID_4202404,CIDADE,4202404,,Blumenau,,SC,361261.0,,
CID_4202438,CIDADE,4202438,,Bocaina do Sul,,SC,3515.0,,
CID_4202453,CIDADE,4202453,,Bombinhas,,SC,25058.0,,
CID_4202503,CIDADE,4202503,,Bom Jardim da Serra,,SC,4026.0,,
CID_4202537,CIDADE,4202537,,Bom Jesus,,SC,2777.0,,
CID_4202578,CIDADE,4202578,,Bom Jesus do Oeste,,SC,2187.0,,
CID_4202602,CIDADE,4202602,,Bom Retiro,,SC,8418.0,,
CID_4202701,CIDADE,4202701,,Botuverá,,SC,5363.0,,
CID_4202800,CIDADE,4202800,,Braço do Norte,,SC,33773.0,,
CID_4202859,CIDADE,4202859,,Braço do Trombudo,,SC,4026.0,,
CID_4202875,CIDADE,4202875,,Brunópolis,,SC,2489.0,,
CID_4202909,CIDADE,4202909,,Brusque,,SC,141385.0,,
CID_4203006,CIDADE,4203006,,Caçador,,SC,73720.0,,
CID_4203105,CIDADE,4203105,,Caibi,,SC,6304.0,,
CID_4203154,CIDADE,4203154,,Calmon,,SC,3443.0,,
CID_4203204,CIDADE,4203204,,Camboriú,,SC,103074.0,,
CID_4203253,CIDADE,4203253,,Capão Alto,,SC,2625.0,,
CID_4203303,CIDADE,4203303,,Campo Alegre,,SC,12501.0,,
CID_4203402,CIDADE,4203402,,Campo Belo do Sul,,SC,7257.0,,
CID_4203501,CIDADE,4203501,,Campo Erê,,SC,9623.0,,
CID_4203600,CIDADE,4203600,,Campos Novos,,SC,36932.0,,
