id,data_referencia,uf,tipo_cub,regime_tributario,valor_m2,fonte
1,2007-02-01,AL,CUB-MEDIO,ONEROSO,611.28,CBIC
2,2007-02-01,AM,CUB-MEDIO,ONEROSO,938.07,CBIC
3,2007-02-01,BA,CUB-MEDIO,ONEROSO,709.94,CBIC
4,2007-02-01,BRASIL,MEDIO,ONEROSO,67521.0,CBIC
5,2007-02-01,CE,CUB-MEDIO,ONEROSO,569.97,CBIC
6,2007-02-01,DF,CUB-MEDIO,ONEROSO,609.17,CBIC
7,2007-02-01,ES,CUB-MEDIO,ONEROSO,657.99,CBIC
8,2007-02-01,GO,CUB-MEDIO,ONEROSO,765.91,CBIC
9,2007-02-01,MA,CUB-MEDIO,ONEROSO,597.3,CBIC
10,2007-02-01,MG,CUB-MEDIO,ONEROSO,672.01,CBIC
11,2007-02-01,MS,CUB-MEDIO,ONEROSO,612.25,CBIC
12,2007-02-01,MT,CUB-MEDIO,ONEROSO,576.17,CBIC
13,2007-02-01,PA,CUB-MEDIO,ONEROSO,639.14,CBIC
14,2007-02-01,PB,CUB-MEDIO,ONEROSO,528.57,CBIC
15,2007-02-01,PE,CUB-MEDIO,ONEROSO,622.76,CBIC
16,2007-02-01,PR,CUB-MEDIO,ONEROSO,671.56,CBIC
17,2007-02-01,RJ,CUB-MEDIO,ONEROSO,718.09,CBIC
18,2007-02-01,RO,CUB-MEDIO,ONEROSO,545.07,CBIC
19,2007-02-01,RS,CUB-MEDIO,ONEROSO,684.95,CBIC
20,2007-02-01,SE,CUB-MEDIO,ONEROSO,650.52,CBIC
21,2007-02-01,SP,CUB-MEDIO,ONEROSO,695.02,CBIC
22,2007-03-01,AL,CUB-MEDIO,ONEROSO,606.19,CBIC
23,2007-03-01,AM,CUB-MEDIO,ONEROSO,937.17,CBIC
24,2007-03-01,BA,CUB-MEDIO,ONEROSO,726.72,CBIC
25,2007-03-01,CE,CUB-MEDIO,ONEROSO,574.73,CBIC
26,2007-03-01,DF,CUB-MEDIO,ONEROSO,609.49,CBIC
27,2007-03-01,ES,CUB-MEDIO,ONEROSO,662.64,CBIC
28,2007-03-01,GO,CUB-MEDIO,ONEROSO,767.11,CBIC
29,2007-03-01,MA,CUB-MEDIO,ONEROSO,595.14,CBIC
30,2007-03-01,MG,CUB-MEDIO,ONEROSO,673.51,CBIC
31,2007-03-01,MS,CUB-MEDIO,ONEROSO,612.37,CBIC
32,2007-03-01,MT,CUB-MEDIO,ONEROSO,567.7,CBIC
33,2007-03-01,PA,CUB-MEDIO,ONEROSO,614.21,CBIC
34,2007-03-01,PB,CUB-MEDIO,ONEROSO,528.61,CBIC
35,2007-03-01,PE,CUB-MEDIO,ONEROSO,624.93,CBIC
36,2007-03-01,PR,CUB-MEDIO,ONEROSO,672.94,CBIC
37,2007-03-01,RJ,CUB-MEDIO,ONEROSO,735.63,CBIC
38,2007-03-01,RO,CUB-MEDIO,ONEROSO,545.25,CBIC
39,2007-03-01,RS,CUB-MEDIO,ONEROSO,686.9,CBIC
40,2007-03-01,SE,CUB-MEDIO,ONEROSO,667.44,CBIC
41,2007-03-01,SP,CUB-MEDIO,ONEROSO,696.04,CBIC
42,2007-04-01,AL,CUB-MEDIO,ONEROSO,613.36,CBIC
43,2007-04-01,AM,CUB-MEDIO,ONEROSO,951.99,CBIC
44,2007-04-01,BA,CUB-MEDIO,ONEROSO,736.31,CBIC
45,2007-04-01,CE,CUB-MEDIO,ONEROSO,600.72,CBIC
46,2007-04-01,DF,CUB-MEDIO,ONEROSO,608.35,CBIC
47,2007-04-01,ES,CUB-MEDIO,ONEROSO,662.96,CBIC
48,2007-04-01,GO,CUB-MEDIO,ONEROSO,769.71,CBIC
49,2007-04-01,MA,CUB-MEDIO,ONEROSO,600.26,CBIC
50,2007-04-01,MG,CUB-MEDIO,ONEROSO,675.57,CBIC
51,2007-04-01,MS,CUB-MEDIO,ONEROSO,613.42,CBIC
52,2007-04-01,MT,CUB-MEDIO,ONEROSO,577.27,CBIC
53,2007-04-01,PA,CUB-MEDIO,ONEROSO,622.57,CBIC
54,2007-04-01,PB,CUB-MEDIO,ONEROSO,546.84,CBIC
55,2007-04-01,PE,CUB-MEDIO,ONEROSO,624.74,CBIC
56,2007-04-01,PR,CUB-MEDIO,ONEROSO,674.01,CBIC
57,2007-04-01,RJ,CUB-MEDIO,ONEROSO,736.55,CBIC
58,2007-04-01,RO,CUB-MEDIO,ONEROSO,560.75,CBIC
59,2007-04-01,RS,CUB-MEDIO,ONEROSO,692.55,CBIC
60,2007-04-01,SE,CUB-MEDIO,ONEROSO,646.39,CBIC
61,2007-04-01,SP,CUB-MEDIO,ONEROSO,700.99,CBIC
62,2007-05-01,AL,CUB-MEDIO,ONEROSO,619.35,CBIC
63,2007-05-01,AM,CUB-MEDIO,ONEROSO,953.93,CBIC
64,2007-05-01,BA,CUB-MEDIO,ONEROSO,738.82,CBIC
65,2007-05-01,CE,CUB-MEDIO,ONEROSO,606.36,CBIC
66,2007-05-01,DF,CUB-MEDIO,ONEROSO,634.55,CBIC
67,2007-05-01,ES,CUB-MEDIO,ONEROSO,677.35,CBIC
68,2007-05-01,GO,CUB-MEDIO,ONEROSO,773.62,CBIC
69,2007-05-01,MA,CUB-MEDIO,ONEROSO,601.05,CBIC
70,2007-05-01,MG,CUB-MEDIO,ONEROSO,678.0,CBIC
71,2007-05-01,MS,CUB-MEDIO,ONEROSO,624.45,CBIC
72,2007-05-01,MT,CUB-MEDIO,ONEROSO,582.53,CBIC
73,2007-05-01,PA,CUB-MEDIO,ONEROSO,619.57,CBIC
74,2007-05-01,PB,CUB-MEDIO,ONEROSO,547.36,CBIC
75,2007-05-01,PE,CUB-MEDIO,ONEROSO,625.81,CBIC
76,2007-05-01,PR,CUB-MEDIO,ONEROSO,675.28,CBIC
77,2007-05-01,RJ,CUB-MEDIO,ONEROSO,736.7,CBIC
78,2007-05-01,RO,CUB-MEDIO,ONEROSO,558.89,CBIC
79,2007-05-01,RS,CUB-MEDIO,ONEROSO,694.05,CBIC
80,2007-05-01,SE,CUB-MEDIO,ONEROSO,658.71,CBIC
81,2007-05-01,SP,CUB-MEDIO,ONEROSO,709.49,CBIC
82,2007-06-01,AL,CUB-MEDIO,ONEROSO,617.76,CBIC
83,2007-06-01,AM,CUB-MEDIO,ONEROSO,959.75,CBIC
84,2007-06-01,BA,CUB-MEDIO,ONEROSO,741.4,CBIC
85,2007-06-01,CE,CUB-MEDIO,ONEROSO,610.56,CBIC
86,2007-06-01,DF,CUB-MEDIO,ONEROSO,636.21,CBIC
87,2007-06-01,ES,CUB-MEDIO,ONEROSO,679.31,CBIC
88,2007-06-01,GO,CUB-MEDIO,ONEROSO,782.97,CBIC
89,2007-06-01,MA,CUB-MEDIO,ONEROSO,596.59,CBIC
90,2007-06-01,MG,CUB-MEDIO,ONEROSO,679.55,CBIC
91,2007-06-01,MS,CUB-MEDIO,ONEROSO,625.81,CBIC
92,2007-06-01,MT,CUB-MEDIO,ONEROSO,583.73,CBIC
93,2007-06-01,PA,CUB-MEDIO,ONEROSO,619.74,CBIC
94,2007-06-01,PB,CUB-MEDIO,ONEROSO,548.87,CBIC
95,2007-06-01,PE,CUB-MEDIO,ONEROSO,626.71,CBIC
96,2007-06-01,PR,CUB-MEDIO,ONEROSO,677.02,CBIC
97,2007-06-01,RJ,CUB-MEDIO,ONEROSO,740.0,CBIC
98,2007-06-01,RO,CUB-MEDIO,ONEROSO,576.92,CBIC
99,2007-06-01,RS,CUB-MEDIO,ONEROSO,708.36,CBIC
100,2007-06-01,SE,CUB-MEDIO,ONEROSO,687.77,CBIC
101,2007-06-01,SP,CUB-MEDIO,ONEROSO,719.64,CBIC
102,2007-07-01,AL,CUB-MEDIO,ONEROSO,620.73,CBIC
103,2007-07-01,AM,CUB-MEDIO,ONEROSO,983.35,CBIC
104,2007-07-01,BA,CUB-MEDIO,ONEROSO,742.75,CBIC
105,2007-07-01,CE,CUB-MEDIO,ONEROSO,614.93,CBIC
106,2007-07-01,DF,CUB-MEDIO,ONEROSO,638.49,CBIC
107,2007-07-01,ES,CUB-MEDIO,ONEROSO,679.61,CBIC
108,2007-07-01,GO,CUB-MEDIO,ONEROSO,777.96,CBIC
109,2007-07-01,MA,CUB-MEDIO,ONEROSO,598.0,CBIC
110,2007-07-01,MG,CUB-MEDIO,ONEROSO,681.9,CBIC
111,2007-07-01,MS,CUB-MEDIO,ONEROSO,627.18,CBIC
112,2007-07-01,MT,CUB-MEDIO,ONEROSO,585.5,CBIC
113,2007-07-01,PA,CUB-MEDIO,ONEROSO,617.35,CBIC
114,2007-07-01,PB,CUB-MEDIO,ONEROSO,547.67,CBIC
115,2007-07-01,PE,CUB-MEDIO,ONEROSO,626.45,CBIC
116,2007-07-01,PR,CUB-MEDIO,ONEROSO,697.59,CBIC
117,2007-07-01,RJ,CUB-MEDIO,ONEROSO,740.35,CBIC
118,2007-07-01,RO,CUB-MEDIO,ONEROSO,607.94,CBIC
119,2007-07-01,RS,CUB-MEDIO,ONEROSO,709.92,CBIC
120,2007-07-01,SE,CUB-MEDIO,ONEROSO,697.29,CBIC
121,2007-07-01,SP,CUB-MEDIO,ONEROSO,723.78,CBIC
122,2007-08-01,AL,CUB-MEDIO,ONEROSO,629.28,CBIC
123,2007-08-01,AM,CUB-MEDIO,ONEROSO,993.5,CBIC
124,2007-08-01,BA,CUB-MEDIO,ONEROSO,744.31,CBIC
125,2007-08-01,CE,CUB-MEDIO,ONEROSO,615.37,CBIC
126,2007-08-01,DF,CUB-MEDIO,ONEROSO,648.22,CBIC
