id,data_referencia,indicador,valor,unidade,variacao_mes,fonte
1,2018-01-01,CREDITO_HABITACIONAL,96.23376,R$ milhões,,BCB
2,2018-02-01,CREDITO_HABITACIONAL,95.92073,R$ milhões,-0.3252808578,BCB
3,2018-03-01,CREDITO_HABITACIONAL,95.90791,R$ milhões,-0.0133652027,BCB
4,2018-04-01,CREDITO_HABITACIONAL,96.45391,R$ milhões,0.5692961092,BCB
5,2018-05-01,CREDITO_HABITACIONAL,93.55771,R$ milhões,-3.002677652,BCB
6,2018-06-01,CREDITO_HABITACIONAL,96.16006,R$ milhões,2.781545209,BCB
7,2018-07-01,CREDITO_HABITACIONAL,96.51114,R$ milhões,0.3650996058,BCB
8,2018-08-01,CREDITO_HABITACIONAL,97.27026,R$ milhões,0.7865620487,BCB
9,2018-09-01,CREDITO_HABITACIONAL,96.69679,R$ milhões,-0.5895635521,BCB
10,2018-10-01,CREDITO_HABITACIONAL,97.00729,R$ milhões,0.321106833,BCB
11,2018-11-01,CREDITO_HABITACIONAL,97.18708,R$ milhões,0.1853365866,BCB
12,2018-12-01,CREDITO_HABITACIONAL,97.57527,R$ milhões,0.3994255203,BCB
13,2019-01-01,CREDITO_HABITACIONAL,97.44915,R$ milhões,-0.129254062,BCB
14,2019-02-01,CREDITO_HABITACIONAL,96.7173,R$ milhões,-0.7510070637,BCB
15,2019-03-01,CREDITO_HABITACIONAL,96.1683,R$ milhões,-0.5676337119,BCB
16,2019-04-01,CREDITO_HABITACIONAL,96.23201,R$ milhões,0.06624844153,BCB
17,2019-05-01,CREDITO_HABITACIONAL,97.54137,R$ milhões,1.36062834,BCB
18,2019-06-01,CREDITO_HABITACIONAL,96.97627,R$ milhões,-0.5793439235,BCB
19,2019-07-01,CREDITO_HABITACIONAL,96.70067,R$ milhões,-0.2841932361,BCB
20,2019-08-01,CREDITO_HABITACIONAL,96.93426,R$ milhões,0.2415598568,BCB
21,2019-09-01,CREDITO_HABITACIONAL,97.31506,R$ milhões,0.3928435622,BCB
22,2019-10-01,CREDITO_HABITACIONAL,98.48077,R$ milhões,1.197872148,BCB
23,2019-11-01,CREDITO_HABITACIONAL,98.09974,R$ milhões,-0.3869080228,BCB
24,2019-12-01,CREDITO_HABITACIONAL,97.80431,R$ milhões,-0.301152684,BCB
25,2020-01-01,CREDITO_HABITACIONAL,97.93174,R$ milhões,0.1302907817,BCB
